epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.7178,1.25801,2.79274,1.213,0.0099,0.995,0.72436,0.42947,1.09931,2.50581,1.04451,0.00032,0.00032,0.00032
2,24.3214,1.24526,1.54035,1.12121,0.00975,0.98,0.79107,0.50663,1.07775,2.54301,1.02505,0.000653466,0.000653466,0.000653466
3,28.432,1.17631,1.436,1.10992,0.02371,0.935,0.75007,0.43567,1.17864,2.54251,1.15939,0.0009802,0.0009802,0.0009802
4,32.1643,1.14827,1.28539,1.09507,0.98145,0.26449,0.79512,0.5301,1.16864,2.525,1.18403,0.0013002,0.0013002,0.0013002
5,35.916,1.11163,1.2035,1.0812,0.8902,0.81,0.88592,0.58501,1.12377,1.69246,1.21346,0.00161347,0.00161347,0.00161347
6,39.721,1.14141,1.16526,1.11443,0.92009,0.88,0.91934,0.59231,1.24017,1.54579,1.29106,0.001901,0.001901,0.001901
7,43.4246,1.16836,1.12884,1.1104,0.9015,0.86947,0.9138,0.61478,1.11462,1.05132,1.17447,0.0018812,0.0018812,0.0018812
8,47.2747,1.11087,1.07002,1.06708,0.8691,0.845,0.8884,0.609,1.1835,1.06821,1.18986,0.0018614,0.0018614,0.0018614
9,50.8593,1.10735,1.02672,1.0879,0.82406,0.58,0.72432,0.44867,1.32722,1.68761,1.33209,0.0018416,0.0018416,0.0018416
10,54.9394,1.0707,0.98701,1.05352,0.83563,0.81344,0.86792,0.54132,1.22272,1.12242,1.31306,0.0018218,0.0018218,0.0018218
11,58.7377,1.04174,0.93355,1.06147,0.88318,0.84,0.87112,0.56326,1.30252,1.05676,1.33787,0.001802,0.001802,0.001802
12,62.5746,1.03085,0.9063,1.03452,0.88742,0.82767,0.88215,0.59743,1.2201,0.90088,1.28662,0.0017822,0.0017822,0.0017822
13,66.1878,1.07524,0.88232,1.08297,0.89334,0.87942,0.911,0.58199,1.26033,0.85521,1.32958,0.0017624,0.0017624,0.0017624
14,69.7466,1.02991,0.89285,1.04894,0.81122,0.87,0.89604,0.60756,1.13619,0.90159,1.27727,0.0017426,0.0017426,0.0017426
15,73.2074,0.98447,0.82804,1.03225,0.91126,0.81,0.88552,0.59787,1.13947,0.81115,1.27008,0.0017228,0.0017228,0.0017228
16,76.7646,1.01963,0.8303,1.0441,0.91694,0.88321,0.9074,0.6452,1.11799,0.73274,1.23855,0.001703,0.001703,0.001703
