epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.71003,1.39494,2.60208,1.20195,0.00708,0.97701,0.52214,0.26207,1.21804,2.9461,1.0665,0.00058,0.00058,0.00058
2,13.8108,1.36537,1.66838,1.18291,0.91415,0.32638,0.62175,0.37098,1.28288,2.66357,1.17085,0.00116832,0.00116832,0.00116832
3,17.8731,1.3568,1.56374,1.18499,0.81481,0.53943,0.70327,0.35602,1.45786,2.37439,1.34308,0.00174476,0.00174476,0.00174476
4,21.8228,1.36779,1.43793,1.19107,0.84826,0.59004,0.74664,0.41945,1.49308,1.74195,1.31807,0.0019406,0.0019406,0.0019406
5,25.6421,1.35144,1.31555,1.15849,0.79192,0.72797,0.81723,0.48656,1.29662,1.31287,1.19591,0.0019208,0.0019208,0.0019208
6,29.5368,1.32298,1.23273,1.17917,0.86702,0.75479,0.84003,0.49325,1.29658,1.19642,1.17163,0.001901,0.001901,0.001901
7,33.4248,1.26878,1.16759,1.14056,0.85018,0.7827,0.86802,0.50257,1.33681,1.0346,1.21091,0.0018812,0.0018812,0.0018812
8,37.2398,1.26147,1.11529,1.1431,0.8986,0.81609,0.89923,0.55744,1.22615,1.0666,1.12571,0.0018614,0.0018614,0.0018614
9,41.1222,1.27527,1.0843,1.14843,0.79958,0.78927,0.85837,0.51522,1.27047,1.01199,1.18741,0.0018416,0.0018416,0.0018416
10,45.1532,1.25019,1.03569,1.12809,0.88682,0.84291,0.90705,0.57876,1.18476,0.86381,1.1465,0.0018218,0.0018218,0.0018218
11,49.0127,1.16983,0.95949,1.10986,0.90298,0.81609,0.90842,0.58622,1.17365,0.84818,1.13651,0.001802,0.001802,0.001802
12,52.819,1.1603,0.93792,1.08556,0.87448,0.82375,0.89568,0.54849,1.32103,0.89758,1.14152,0.0017822,0.0017822,0.0017822
13,56.8822,1.19864,0.94154,1.1169,0.89623,0.86033,0.91283,0.58627,1.17118,0.80648,1.09695,0.0017624,0.0017624,0.0017624
14,60.8658,1.12366,0.89188,1.07005,0.86101,0.85444,0.92111,0.60326,1.1272,0.78546,1.10617,0.0017426,0.0017426,0.0017426
15,64.6095,1.1343,0.87273,1.07853,0.84152,0.85448,0.9011,0.56727,1.20214,0.81296,1.14233,0.0017228,0.0017228,0.0017228
16,68.4288,1.1543,0.88181,1.08725,0.87975,0.86973,0.92008,0.61692,1.08148,0.8026,1.08252,0.001703,0.001703,0.001703
17,72.351,1.11885,0.88151,1.07956,0.85339,0.85824,0.89321,0.55486,1.18592,0.84433,1.12035,0.0016832,0.0016832,0.0016832
18,76.0961,1.11774,0.84819,1.06871,0.88844,0.84674,0.93245,0.61691,1.09995,0.76892,1.09343,0.0016634,0.0016634,0.0016634
19,79.8175,1.11504,0.84875,1.07324,0.91595,0.87685,0.94075,0.60924,1.09748,0.72609,1.10983,0.0016436,0.0016436,0.0016436
20,83.6947,1.08253,0.79708,1.05167,0.87416,0.90493,0.94568,0.63938,1.05283,0.69587,1.04078,0.0016238,0.0016238,0.0016238
21,87.5754,1.05851,0.76102,1.03819,0.92565,0.90634,0.94661,0.66112,1.04334,0.66095,1.04124,0.001604,0.001604,0.001604
22,91.3864,1.03618,0.75885,1.02789,0.91137,0.86676,0.93807,0.6015,1.09607,0.75345,1.08897,0.0015842,0.0015842,0.0015842
23,95.2447,1.06973,0.77524,1.05391,0.92134,0.88889,0.95318,0.62284,1.09461,0.69387,1.06287,0.0015644,0.0015644,0.0015644
24,99.3151,1.06337,0.76655,1.0498,0.9246,0.90421,0.95259,0.64242,1.00794,0.69161,1.04359,0.0015446,0.0015446,0.0015446
25,103.086,1.06084,0.7783,1.05192,0.9068,0.88123,0.93032,0.61791,1.05798,0.72968,1.07323,0.0015248,0.0015248,0.0015248
26,106.925,1.04634,0.76203,1.04116,0.91532,0.86968,0.93015,0.64539,1.02186,0.71114,1.06126,0.001505,0.001505,0.001505
27,110.757,1.01053,0.72347,1.01223,0.8774,0.90483,0.9566,0.68286,0.99116,0.63011,1.03198,0.0014852,0.0014852,0.0014852
28,114.556,1.00942,0.7214,1.02112,0.86839,0.9387,0.94226,0.65532,0.99448,0.67869,1.04194,0.0014654,0.0014654,0.0014654
29,118.248,1.01491,0.72481,1.01062,0.91369,0.90805,0.96027,0.67488,1.0137,0.6497,1.02962,0.0014456,0.0014456,0.0014456
30,122.126,1.00953,0.71535,1.0269,0.93432,0.89655,0.96334,0.67451,1.01557,0.62153,1.0446,0.0014258,0.0014258,0.0014258
31,125.95,1.02263,0.69645,1.01858,0.94086,0.88123,0.96053,0.66564,0.99923,0.65257,1.04089,0.001406,0.001406,0.001406
32,129.842,0.99603,0.70837,1.00723,0.92518,0.90011,0.94557,0.64049,1.08478,0.65694,1.07633,0.0013862,0.0013862,0.0013862
33,133.686,0.97246,0.68408,0.999,0.92287,0.91682,0.95764,0.66809,1.00877,0.63965,1.03151,0.0013664,0.0013664,0.0013664
34,137.611,0.94798,0.66317,0.99823,0.94462,0.88506,0.93904,0.62918,1.0929,0.67099,1.0626,0.0013466,0.0013466,0.0013466
35,141.562,0.97339,0.66998,1.00239,0.92231,0.89272,0.95395,0.66356,1.00287,0.70665,1.03078,0.0013268,0.0013268,0.0013268
36,145.329,0.96528,0.6667,0.99427,0.89318,0.92909,0.96138,0.67479,0.99004,0.66735,1.0211,0.001307,0.001307,0.001307
37,149.199,0.96263,0.67973,1.00168,0.93159,0.88699,0.95351,0.65813,0.99968,0.63839,1.03333,0.0012872,0.0012872,0.0012872
38,153.019,0.96596,0.66247,0.99601,0.92593,0.88506,0.95042,0.65758,1.02807,0.65897,1.03108,0.0012674,0.0012674,0.0012674
39,156.728,0.96795,0.67516,1.00534,0.9465,0.88127,0.95745,0.68466,0.95745,0.60559,1.01082,0.0012476,0.0012476,0.0012476
40,160.624,0.95336,0.65268,0.99558,0.94613,0.9387,0.97299,0.6956,0.93638,0.58346,1.00519,0.0012278,0.0012278,0.0012278
41,164.482,0.91974,0.6496,0.97971,0.94056,0.90946,0.96532,0.69932,0.95038,0.59667,0.98536,0.001208,0.001208,0.001208
42,168.286,0.9546,0.64708,1.00072,0.94431,0.90957,0.96005,0.70942,0.95368,0.59338,0.99883,0.0011882,0.0011882,0.0011882
43,172.128,0.95269,0.65114,1.00066,0.9377,0.89272,0.94905,0.6716,0.99499,0.61537,1.032,0.0011684,0.0011684,0.0011684
44,176.051,0.91565,0.63598,0.98091,0.9466,0.90805,0.9629,0.69876,0.91221,0.58728,0.98675,0.0011486,0.0011486,0.0011486
45,179.906,0.95538,0.64743,1.00519,0.92734,0.93103,0.97222,0.69203,0.95982,0.58583,1.01406,0.0011288,0.0011288,0.0011288
46,183.743,0.91112,0.62972,0.98228,0.94579,0.88889,0.96298,0.68881,0.97908,0.57963,1.03391,0.001109,0.001109,0.001109
47,187.521,0.91573,0.62333,0.97836,0.93748,0.90805,0.95847,0.68618,0.97898,0.58084,1.0258,0.0010892,0.0010892,0.0010892
48,191.43,0.89029,0.61904,0.98279,0.92635,0.91565,0.96672,0.70633,0.91045,0.56636,0.98258,0.0010694,0.0010694,0.0010694
49,195.193,0.8939,0.61818,0.97349,0.93894,0.94636,0.97031,0.70741,0.89663,0.5527,0.98517,0.0010496,0.0010496,0.0010496
50,198.93,0.87922,0.60881,0.96968,0.94445,0.91194,0.96604,0.70073,0.92083,0.57374,1.0111,0.0010298,0.0010298,0.0010298
51,202.81,0.88414,0.60644,0.97298,0.91658,0.89272,0.93551,0.67967,0.94659,0.61981,1.02069,0.00101,0.00101,0.00101
52,206.661,0.86263,0.58863,0.95964,0.94216,0.93619,0.97023,0.69471,0.97549,0.5645,1.03162,0.0009902,0.0009902,0.0009902
53,210.442,0.87218,0.58294,0.95273,0.91992,0.94253,0.96975,0.69694,0.9627,0.56363,1.02921,0.0009704,0.0009704,0.0009704
54,214.654,0.87969,0.58752,0.96167,0.96105,0.94534,0.97012,0.70935,0.92145,0.53964,0.99735,0.0009506,0.0009506,0.0009506
55,218.842,0.89133,0.58978,0.97386,0.93651,0.9272,0.96672,0.68035,0.961,0.56242,1.00774,0.0009308,0.0009308,0.0009308
56,222.952,0.86096,0.60212,0.95078,0.94227,0.93805,0.96988,0.70888,0.9213,0.54602,1.01273,0.000911,0.000911,0.000911
